                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0047,                 1.1687,                 1.4811,                 0.6456,                0.83392,                0.83403,                0.60983,                 1.1234,                 1.0458,                 1.8531,               0.000854,               0.000854,               0.000854
                     83,                 1.0098,                  1.156,                 1.4755,                0.74909,                0.82568,                0.91276,                0.65182,                 1.0597,                 1.0327,                 1.8421,             0.00084905,             0.00084905,             0.00084905
                     84,                 1.0131,                 1.1932,                 1.5113,                0.95791,                0.85626,                0.96732,                0.70823,                 1.0478,                0.77724,                 1.7745,              0.0008441,              0.0008441,              0.0008441
                     85,                 1.0293,                 1.1283,                 1.5043,                 0.9593,                 0.8679,                 0.9547,                0.67041,                 1.0728,                0.82253,                 1.7467,             0.00083915,             0.00083915,             0.00083915
                     86,                 1.0093,                 1.1803,                 1.5005,                0.89793,                0.92292,                 0.9648,                0.69736,                  1.061,                 0.7606,                 1.7852,              0.0008342,              0.0008342,              0.0008342
                     87,                0.98902,                  1.162,                 1.4874,                 0.6699,                0.86196,                0.93607,                0.62507,                 1.1247,                 1.0845,                 1.8198,             0.00082925,             0.00082925,             0.00082925
                     88,                 1.0295,                 1.1746,                 1.4935,                0.94613,                0.86656,                0.96537,                0.71013,                 1.0369,                0.76697,                 1.7321,              0.0008243,              0.0008243,              0.0008243
                     89,                 1.0354,                 1.1335,                 1.4852,                0.81131,                0.87736,                0.93227,                0.68917,                 1.0734,                0.83776,                 1.7718,             0.00081935,             0.00081935,             0.00081935
                     90,                 1.0027,                 1.1414,                 1.4905,                0.89787,                 0.8256,                0.93182,                 0.6703,                 1.0699,                0.81237,                  1.791,              0.0008144,              0.0008144,              0.0008144
                     91,                0.96599,                 1.0953,                 1.4415,                0.72529,                0.71754,                0.88084,                0.63543,                  1.128,                 1.2854,                 1.8316,             0.00080945,             0.00080945,             0.00080945
                     92,                0.99655,                 1.0861,                 1.4714,                0.89208,                0.85849,                0.95621,                0.68887,                 1.0852,                0.74682,                 1.7984,              0.0008045,              0.0008045,              0.0008045
                     93,                0.98339,                 1.0506,                 1.4495,                0.77372,                0.85949,                 0.9533,                0.71854,                0.99789,                0.90173,                  1.695,             0.00079955,             0.00079955,             0.00079955
                     94,                0.97099,                 1.0436,                  1.431,                0.90523,                0.88911,                0.95243,                 0.7001,                 1.0575,                0.80648,                  1.855,              0.0007946,              0.0007946,              0.0007946
                     95,                 1.0191,                 1.0841,                  1.491,                0.95701,                0.88214,                 0.9752,                0.72236,                 1.0211,                0.69949,                  1.761,             0.00078965,             0.00078965,             0.00078965
                     96,                0.98284,                 1.0357,                 1.4811,                0.95444,                 0.8646,                0.96135,                0.70009,                 1.0808,                0.68882,                 1.7747,              0.0007847,              0.0007847,              0.0007847
                     97,                0.96363,                 0.9814,                 1.4318,                0.95373,                 0.8871,                0.96271,                0.74136,                 0.9791,                 0.6966,                   1.66,             0.00077975,             0.00077975,             0.00077975
                     98,                 1.0127,                 1.0509,                 1.4762,                0.93244,                 0.9105,                0.96523,                0.70332,                 1.0531,                0.70049,                 1.7194,              0.0007748,              0.0007748,              0.0007748
                     99,                0.97815,                 1.0143,                 1.4685,                0.88357,                0.89632,                0.96615,                0.70407,                 1.1097,                0.69597,                 1.8046,             0.00076985,             0.00076985,             0.00076985
                    100,                0.92032,                0.92818,                 1.4205,                0.85737,                0.92482,                0.96063,                0.71885,                0.98746,                 0.7496,                 1.6743,              0.0007649,              0.0007649,              0.0007649
